K	alpha	T	estimationResult.Eigen.gap.best	estimationResult.Eigen.gap.2nd.best	estimationResult.Rotation.cost.best	estimationResult.Rotation.cost.2nd.best
10	0.3	10	2	4	4	2
10	0.3	20	2	4	4	2
10	0.4	10	2	4	5	2
10	0.4	20	2	4	5	2
10	0.5	10	2	5	5	2
10	0.5	20	2	5	5	2
10	0.6	10	2	5	2	5
10	0.6	20	2	5	2	5
10	0.7	10	2	5	2	5
10	0.7	20	2	5	2	5
10	0.8	10	2	5	2	5
10	0.8	20	2	5	2	5
20	0.3	10	2	4	2	4
20	0.3	20	2	4	2	4
20	0.4	10	2	4	2	4
20	0.4	20	2	4	2	4
20	0.5	10	2	4	2	5
20	0.5	20	2	4	2	5
20	0.6	10	2	4	2	6
20	0.6	20	2	4	2	6
20	0.7	10	2	5	2	5
20	0.7	20	2	5	2	5
20	0.8	10	2	5	2	6
20	0.8	20	2	5	2	6
30	0.3	10	2	4	2	6
30	0.3	20	2	4	2	6
30	0.4	10	2	5	2	6
30	0.4	20	2	5	2	6
30	0.5	10	2	5	2	5
30	0.5	20	2	5	2	5
30	0.6	10	2	5	2	5
30	0.6	20	2	5	2	5
30	0.7	10	2	5	2	5
30	0.7	20	2	5	2	5
30	0.8	10	2	5	2	5
30	0.8	20	2	5	2	5
