sample_id	snf_cluster
7316-1083	1
7316-109	5
7316-1118	5
7316-14	5
7316-153	6
7316-1650	4
7316-1651	2
7316-1655	7
7316-1669	4
7316-1670	5
7316-1676	6
7316-1700	5
7316-178	4
7316-1801	5
7316-1802	5
7316-182	4
7316-1945	2
7316-2107	6
7316-2133	2
7316-2155	1
7316-2169	5
7316-2178	5
7316-22	1
7316-2221	1
7316-2227	1
7316-2230	6
7316-2240	5
7316-2250	5
7316-2252	2
7316-2287	6
7316-2309	6
7316-2322	6
7316-2562	1
7316-2603	2
7316-2626	2
7316-2659	6
7316-2699	4
7316-2700	2
7316-2701	3
7316-2711	3
7316-278	4
7316-2780	4
7316-2811	1
7316-2865	4
7316-2893	5
7316-2934	2
7316-2971	1
7316-3008	3
7316-302	3
7316-3025	2
7316-3032	3
7316-304	6
7316-306	5
7316-3114	4
7316-313	5
7316-3138	4
7316-314	1
7316-3192	5
7316-3202	4
7316-347	5
7316-3488	6
7316-3510	3
7316-3511	1
7316-3576	6
7316-358	6
7316-3626	5
7316-3659	7
7316-367	5
7316-3726	1
7316-3756	6
7316-3774	7
7316-38	1
7316-3809	4
7316-3846	1
7316-3857	6
7316-3931	1
7316-3949	1
7316-4028	5
7316-411	7
7316-4174	3
7316-4188	7
7316-4221	2
7316-4265	2
7316-4270	4
7316-4283	4
7316-4284	7
7316-4296	3
7316-4345	3
7316-438	6
7316-4458	7
7316-4493	6
7316-4523	4
7316-4529	4
7316-4535	3
7316-4681	4
7316-4778	2
7316-4856	1
7316-4918	7
7316-4940	7
7316-4956	7
7316-5	2
7316-5187	1
7316-521	2
7316-5463	1
7316-5526	3
7316-553	5
7316-5539	4
7316-556	1
7316-5749	1
7316-5879	3
7316-5883	3
7316-6	7
7316-6124	2
7316-6528	4
7316-6530	1
7316-6685	4
7316-670	5
7316-676	1
7316-6792	7
7316-6794	7
7316-680	4
7316-6808	5
7316-683	2
7316-7110	2
7316-729	4
7316-735	5
7316-739	5
7316-746	6
7316-747	5
7316-7495	7
7316-7598	4
7316-7742	7
7316-7753	1
7316-7930	3
7316-7965	3
7316-8117	3
7316-8430	4
7316-8451	1
7316-8850	7
7316-8860	4
7316-8916	1
7316-897	1
7316-9037	7
7316-906	2
7316-908	5
7316-922	7
7316-9249	2
7316-931	4
7316-937	1
7316-9450	4
7316-96	2
7316-9804	4
